,SEMANA_EPIDEMIOLOGICA,CASOS_CONFIRMADOS,CASOS_PROBALES,CASOS_TOTAL_MUERTES,PRECAUCION_SOCIAL
109,2023 - 05,0,2,2,67
108,2023 - 04,0,1,1,68
107,2023 - 03,1,6,7,68
106,2023 - 02,0,7,7,68
105,2023 - 01,0,21,21,68
104,2022 - 52,3,28,31,69
103,2022 - 51,0,12,12,69
102,2022 - 50,0,12,12,69
101,2022 - 49,0,10,10,69
100,2022 - 48,0,3,3,70
99,2022 - 47,0,2,2,70
98,2022 - 46,0,1,1,70
97,2022 - 44,0,3,3,70
96,2022 - 43,0,1,1,71
95,2022 - 42,0,2,2,71
94,2022 - 41,0,3,3,71
93,2022 - 40,0,2,2,71
92,2022 - 39,1,1,2,72
91,2022 - 38,0,4,4,72
90,2022 - 37,0,10,10,72
89,2022 - 36,0,7,7,73
88,2022 - 35,1,14,15,73
87,2022 - 34,0,23,23,73
86,2022 - 33,0,36,36,73
85,2022 - 32,0,20,20,74
84,2022 - 31,1,13,14,74
83,2022 - 30,0,8,8,74
82,2022 - 29,1,12,13,74
81,2022 - 28,1,9,10,75
80,2022 - 27,1,3,4,75
79,2022 - 26,4,2,6,75
78,2022 - 25,4,4,8,75
77,2022 - 24,3,0,3,76
76,2022 - 23,4,2,6,76
75,2022 - 22,2,2,4,76
74,2022 - 21,2,0,2,76
73,2022 - 20,5,2,7,77
72,2022 - 19,2,1,3,77
71,2022 - 18,5,1,6,77
70,2022 - 17,3,3,6,77
69,2022 - 16,1,1,2,78
68,2022 - 15,3,4,7,78
67,2022 - 14,4,4,8,78
66,2022 - 13,6,3,9,78
65,2022 - 12,6,6,12,79
64,2022 - 11,4,12,16,79
63,2022 - 10,5,16,21,79
62,2022 - 09,9,23,32,79
61,2022 - 08,9,55,64,80
60,2022 - 07,13,79,92,80
59,2022 - 06,23,153,176,80
58,2022 - 05,45,162,207,80
57,2022 - 04,51,212,263,81
56,2022 - 03,32,174,206,81
55,2022 - 02,36,137,173,81
54,2022 - 01,22,61,83,82
53,2021 - 53,8,37,45,82
52,2021 - 52,19,38,57,82
51,2021 - 51,15,48,63,82
50,2021 - 50,9,41,50,83
49,2021 - 49,9,22,31,83
48,2021 - 48,11,25,36,83
47,2021 - 47,10,28,38,83
46,2021 - 46,8,20,28,84
45,2021 - 45,11,21,32,84
44,2021 - 44,14,13,27,84
43,2021 - 43,12,13,25,84
42,2021 - 42,8,13,21,85
41,2021 - 41,9,11,20,85
40,2021 - 40,10,10,20,85
39,2021 - 39,5,9,14,85
38,2021 - 38,7,16,23,86
37,2021 - 37,8,19,27,86
36,2021 - 36,11,25,36,86
35,2021 - 35,8,40,48,86
34,2021 - 34,8,47,55,87
33,2021 - 33,11,39,50,87
32,2021 - 32,18,63,81,87
31,2021 - 31,13,82,95,87
30,2021 - 30,13,91,104,88
29,2021 - 29,6,93,99,88
28,2021 - 28,17,106,123,88
27,2021 - 27,21,102,123,88
26,2021 - 26,18,118,136,89
25,2021 - 25,25,116,141,89
24,2021 - 24,21,128,149,89
23,2021 - 23,30,176,206,89
22,2021 - 22,26,164,190,90
21,2021 - 21,38,216,254,90
20,2021 - 20,52,286,338,90
19,2021 - 19,58,357,415,91
18,2021 - 18,88,407,495,91
17,2021 - 17,72,477,549,91
16,2021 - 16,85,536,621,91
15,2021 - 15,112,459,571,92
14,2021 - 14,93,451,544,92
13,2021 - 13,102,422,524,92
12,2021 - 12,64,359,423,92
11,2021 - 11,62,368,430,93
10,2021 - 10,64,334,398,93
9,2021 - 09,55,273,328,93
8,2021 - 08,39,266,305,93
7,2021 - 07,64,278,342,94
6,2021 - 06,48,247,295,94
5,2021 - 05,41,290,331,94
4,2021 - 04,39,285,324,94
3,2021 - 03,46,319,365,95
2,2021 - 02,43,238,281,95
1,2021 - 01,39,187,226,95
